prop_handle,enum_value,term_value,http_status,passed,notes
breed,Pyrenean Mastiff,Pyrenean Mastiff,200,True,
breed,Pyrenean Shepherd,Pyrenean Shepherd,200,True,
breed,Rafeiro do Alentejo,Rafeiro do Alentejo,200,True,
breed,Rat Terrier,Rat Terrier,200,True,
breed,Redbone Coonhound,Redbone Coonhound,200,True,
breed,Rhodesian Ridgeback,Rhodesian Ridgeback,200,True,
breed,Romanian Mioritic Shepherd Dog,Romanian Mioritic Shepherd Dog,200,True,
breed,Rottweiler,Rottweiler,200,True,
breed,Russell Terrier,Russell Terrier,200,True,
breed,Russian Toy,Russian Toy,200,True,
breed,Russian Tsvetnaya Bolonka,Russian Tsvetnaya Bolonka,200,True,
breed,Saint Bernard,Saint Bernard,200,True,
breed,Saluki,Saluki,200,True,
breed,Samoyed,Samoyed,200,True,
breed,Schapendoes,Schapendoes,200,True,
breed,Schipperke,Schipperke,200,True,
breed,Scottish Deerhound,Scottish Deerhound,200,True,
breed,Scottish Terrier,Scottish Terrier,200,True,
breed,Sealyham Terrier,Sealyham Terrier,200,True,
breed,Segugio Italiano,Segugio Italiano,200,True,
breed,Shetland Sheepdog,Shetland Sheepdog,200,True,
breed,Shiba Inu,Shiba Inu,200,True,
breed,Shih Tzu,Shih Tzu,200,True,
breed,Shikoku,Shikoku,200,True,
breed,Siberian Husky,Siberian Husky,200,True,
breed,Silky Terrier,Silky Terrier,200,True,
breed,Skye Terrier,Skye Terrier,200,True,
breed,Sloughi,Sloughi,200,True,
breed,Slovakian Wirehaired Pointer,Slovakian Wirehaired Pointer,200,True,
breed,Slovensky Cuvac,Slovensky Cuvac,200,True,
breed,Slovensky Kopov,Slovensky Kopov,200,True,
breed,Small Munsterlander Pointer,Small Munsterlander Pointer,200,True,
breed,Smooth Fox Terrier,Smooth Fox Terrier,200,True,
breed,Soft Coated Wheaten Terrier,Soft Coated Wheaten Terrier,200,True,
breed,Spanish Mastiff,Spanish Mastiff,200,True,
breed,Spanish Water Dog,Spanish Water Dog,200,True,
breed,Spinone Italiano,Spinone Italiano,200,True,
