prop_handle,enum_value,description,model_handle,version_string,node_handle
organ_or_tissue,Lymph nodes of multiple regions,Site where images are associated,,,
organ_or_tissue,Lymph nodes of inguinal region or leg,Site where images are associated,,,
organ_or_tissue,Lymph nodes of axilla or arm,Site where images are associated,,,
organ_or_tissue,Other specified parts of pancreas,Site where images are associated,,,
organ_or_tissue,Other specified parts of male genital organs,Site where images are associated,,,
organ_or_tissue,Other specified parts of female genital organs,Site where images are associated,,,
organ_or_tissue,Other ill-defined sites,Site where images are associated,,,
organ_or_tissue,Laryngeal commissure,Site where images are associated,,,
organ_or_tissue,Overlapping lesions of oropharynx,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of vulva,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of urinary organs,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of tonsil,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of tongue,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of stomach,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of small intestine,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of skin,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of retroperitoneum and peritoneum,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of respiratory system and intrathoracic organs,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of penis,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of pancreas,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of palate,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of other and unspecified parts of mouth,Site where images are associated,,,
organ_or_tissue,"Upper respiratory tract, NOS",Site where images are associated,,,
organ_or_tissue,"Upper lobe, lung",Site where images are associated,,,
organ_or_tissue,"Upper limb, NOS",Site where images are associated,,,
organ_or_tissue,Upper Gum,Site where images are associated,,,
organ_or_tissue,Unknown primary site,Site where images are associated,,,
organ_or_tissue,Undescended testis,Site where images are associated,,,
organ_or_tissue,Trigone of bladder,Site where images are associated,,,
organ_or_tissue,Transverse colon,Site where images are associated,,,
organ_or_tissue,Trachea,Site where images are associated,,,
organ_or_tissue,Tonsillar pillar,Site where images are associated,,,
organ_or_tissue,Tonsillar fossa,Site where images are associated,,,
organ_or_tissue,"Tonsil, NOS",Site where images are associated,,,
organ_or_tissue,"Tongue, NOS",Site where images are associated,,,
organ_or_tissue,Thyroid gland,Site where images are associated,,,
organ_or_tissue,Thymus,Site where images are associated,,,
organ_or_tissue,"Thorax, NOS",Site where images are associated,,,
organ_or_tissue,Thoracic esophagus,Site where images are associated,,,
organ_or_tissue,"Testis, NOS",Site where images are associated,,,
organ_or_tissue,Temporal lobe,Site where images are associated,,,
organ_or_tissue,Tail of pancreas,Site where images are associated,,,
organ_or_tissue,Supraglottis,Site where images are associated,,,
organ_or_tissue,Superior wall of nasopharynx,Site where images are associated,,,
organ_or_tissue,Submandibular gland,Site where images are associated,,,
organ_or_tissue,"Lymph nodes of head, face and neck",Site where images are associated,,,
organ_or_tissue,"Bladder, NOS",Site where images are associated,,,
organ_or_tissue,Central portion of breast,Site where images are associated,,,
organ_or_tissue,"Female genital tract, NOS",Site where images are associated,,,
organ_or_tissue,"Male genital organs, NOS",Site where images are associated,,,
organ_or_tissue,"Nasopharynx, NOS",Site where images are associated,,,
organ_or_tissue,Placenta,Site where images are associated,,,
organ_or_tissue,Pituitary gland,Site where images are associated,,,
organ_or_tissue,Pineal gland,Site where images are associated,,,
organ_or_tissue,"Pharynx, NOS",Site where images are associated,,,
organ_or_tissue,"Peritoneum, NOS",Site where images are associated,,,
organ_or_tissue,"Bone of limb, NOS",Site where images are associated,,,
organ_or_tissue,"Ventricle, NOS",Site where images are associated,,,
organ_or_tissue,Specified parts of peritoneum,Site where images are associated,,,
organ_or_tissue,"Ventral surface of tongue, NOS",Site where images are associated,,,
organ_or_tissue,Overlapping lesion of nasopharynx,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of male genital organs,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of major salivary glands,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of lung,Site where images are associated,,,
organ_or_tissue,"Overlapping lesion of lip, oral cavity and pharynx",Site where images are associated,,,
organ_or_tissue,Overlapping lesion of lip,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of larynx,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of ill-defined sites,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of hypopharynx,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of floor of mouth,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of female genital organs,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of esophagus,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of endocrine glands and related structures,Site where images are associated,,,
organ_or_tissue,Overlapping lesion of digestive system,Site where images are associated,,,
organ_or_tissue,"Soft palate, NOS",Site where images are associated,,,
organ_or_tissue,"Small intestine, NOS",Site where images are associated,,,
organ_or_tissue,"Skin, NOS",Site where images are associated,,,
organ_or_tissue,Skin of upper limb and shoulder,Site where images are associated,,,
organ_or_tissue,Skin of trunk,Site where images are associated,,,
organ_or_tissue,Skin of scalp and neck,Site where images are associated,,,
organ_or_tissue,Skin of other and unspecified parts of face,Site where images are associated,,,
organ_or_tissue,Skin of lower limb and hip,Site where images are associated,,,
organ_or_tissue,"Skin of lip, NOS",Site where images are associated,,,
organ_or_tissue,Sigmoid colon,Site where images are associated,,,
organ_or_tissue,"Scrotum, NOS",Site where images are associated,,,
organ_or_tissue,Round ligament,Site where images are associated,,,
organ_or_tissue,Retroperitoneum,Site where images are associated,,,
organ_or_tissue,Retromolar area,Site where images are associated,,,
organ_or_tissue,Sublingual gland,Site where images are associated,,,
organ_or_tissue,Subglottis,Site where images are associated,,,
organ_or_tissue,"Stomach, NOS",Site where images are associated,,,
organ_or_tissue,Splenic flexure of colon,Site where images are associated,,,
organ_or_tissue,Spleen,Site where images are associated,,,
organ_or_tissue,Spinal meninges,Site where images are associated,,,
organ_or_tissue,Spinal cord,Site where images are associated,,,
organ_or_tissue,Sphenoid sinus,Site where images are associated,,,
organ_or_tissue,Spermatic cord,Site where images are associated,,,
organ_or_tissue,Short bones of lower limb and associated joints,Site where images are associated,,,
organ_or_tissue,Not Reported,Site where images are associated,,,
organ_or_tissue,Unknown,Site where images are associated,,,
organ_or_tissue,Waldeyer ring,Site where images are associated,,,
organ_or_tissue,"Vulva, NOS",Site where images are associated,,,
organ_or_tissue,Vestibule of mouth,Site where images are associated,,,
organ_or_tissue,Vertebral column,Site where images are associated,,,
organ_or_tissue,Vallecula,Site where images are associated,,,
organ_or_tissue,"Vagina, NOS",Site where images are associated,,,
organ_or_tissue,Uvula,Site where images are associated,,,
organ_or_tissue,"Uterus, NOS",Site where images are associated,,,
organ_or_tissue,Uterine adnexa,Site where images are associated,,,
organ_or_tissue,"Urinary system, NOS",Site where images are associated,,,
organ_or_tissue,Urethra,Site where images are associated,,,
organ_or_tissue,Ureteric orifice,Site where images are associated,,,
organ_or_tissue,Ureter,Site where images are associated,,,
organ_or_tissue,Urachus,Site where images are associated,,,
organ_or_tissue,Upper-outer quadrant of breast,Site where images are associated,,,
organ_or_tissue,Upper-inner quadrant of breast,Site where images are associated,,,
organ_or_tissue,Upper third of esophagus,Site where images are associated,,,
organ_or_tissue,Short bones of upper limb and associated joints,Site where images are associated,,,
organ_or_tissue,"Rib, sternum, clavicle and associated joints",Site where images are associated,,,
organ_or_tissue,Peripheral nerves and autonomic nervous system of upper limb and shoulder,Site where images are associated,,,
organ_or_tissue,"Peripheral nerves and autonomic nervous system of trunk, NOS",Site where images are associated,,,
