prop_handle,enum_value,http_status,passed,notes
organ_or_tissue,Specified parts of peritoneum,200,True,
organ_or_tissue,"Ventral surface of tongue, NOS",200,True,
organ_or_tissue,Overlapping lesion of nasopharynx,200,True,
organ_or_tissue,Overlapping lesion of male genital organs,200,True,
organ_or_tissue,Overlapping lesion of major salivary glands,200,True,
organ_or_tissue,Overlapping lesion of lung,200,True,
organ_or_tissue,"Overlapping lesion of lip, oral cavity and pharynx",200,True,
organ_or_tissue,Overlapping lesion of lip,200,True,
organ_or_tissue,Overlapping lesion of larynx,200,True,
organ_or_tissue,Overlapping lesion of ill-defined sites,200,True,
organ_or_tissue,Overlapping lesion of hypopharynx,200,True,
organ_or_tissue,Overlapping lesion of floor of mouth,200,True,
organ_or_tissue,Overlapping lesion of female genital organs,200,True,
organ_or_tissue,Overlapping lesion of esophagus,200,True,
organ_or_tissue,Overlapping lesion of endocrine glands and related structures,200,True,
organ_or_tissue,Overlapping lesion of digestive system,200,True,
organ_or_tissue,"Soft palate, NOS",200,True,
organ_or_tissue,"Small intestine, NOS",200,True,
organ_or_tissue,"Skin, NOS",200,True,
organ_or_tissue,Skin of upper limb and shoulder,200,True,
organ_or_tissue,Skin of trunk,200,True,
organ_or_tissue,Skin of scalp and neck,200,True,
organ_or_tissue,Skin of other and unspecified parts of face,200,True,
organ_or_tissue,Skin of lower limb and hip,200,True,
organ_or_tissue,"Skin of lip, NOS",200,True,
organ_or_tissue,Sigmoid colon,200,True,
organ_or_tissue,"Scrotum, NOS",200,True,
organ_or_tissue,Round ligament,200,True,
organ_or_tissue,Retroperitoneum,200,True,
organ_or_tissue,Retromolar area,200,True,
organ_or_tissue,Sublingual gland,200,True,
organ_or_tissue,Subglottis,200,True,
organ_or_tissue,"Stomach, NOS",200,True,
organ_or_tissue,Splenic flexure of colon,200,True,
organ_or_tissue,Spleen,200,True,
organ_or_tissue,Spinal meninges,200,True,
organ_or_tissue,Spinal cord,200,True,
organ_or_tissue,Sphenoid sinus,200,True,
organ_or_tissue,Spermatic cord,200,True,
organ_or_tissue,Short bones of lower limb and associated joints,200,True,
organ_or_tissue,Not Reported,200,True,
organ_or_tissue,Unknown,200,True,
organ_or_tissue,Waldeyer ring,200,True,
organ_or_tissue,"Vulva, NOS",200,True,
organ_or_tissue,Vestibule of mouth,200,True,
organ_or_tissue,Vertebral column,200,True,
organ_or_tissue,Vallecula,200,True,
organ_or_tissue,"Vagina, NOS",200,True,
organ_or_tissue,Uvula,200,True,
organ_or_tissue,"Uterus, NOS",200,True,
organ_or_tissue,Uterine adnexa,200,True,
organ_or_tissue,"Urinary system, NOS",200,True,
organ_or_tissue,Urethra,200,True,
organ_or_tissue,Ureteric orifice,200,True,
organ_or_tissue,Ureter,200,True,
organ_or_tissue,Urachus,200,True,
organ_or_tissue,Upper-outer quadrant of breast,200,True,
organ_or_tissue,Upper-inner quadrant of breast,200,True,
organ_or_tissue,Upper third of esophagus,200,True,
organ_or_tissue,Short bones of upper limb and associated joints,200,True,
organ_or_tissue,"Rib, sternum, clavicle and associated joints",200,True,
