prop_handle,enum_value,term_value,description,model_handle,version_string,node_handle
translocation_partner_chromosome,Chr 4,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 5,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 6,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 7,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 8,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr 9,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr M,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr X,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Chr Y,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Not Reported,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
translocation_partner_chromosome,Unknown,,Threadlike structures made of protein and a single molecule of DNA in a human that serve to carry the genomic information from cell to cell.,CCDI-DCC,1.0.0,genetic_analysis
alteration,11q Deletion,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,12q Gain,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,16q Loss,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,17q Gain,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,1p Deletion,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,1q Gain,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,45XO,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,45XO w/ Y chromosomal material,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
alteration,46XX,,The words by which the generally used name of the mutation is known.,CCDI-DCC,1.0.0,genetic_analysis
