prop_handle,enum_value,term_value,http_status,passed,notes
diagnosis,"Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype","Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype",200,True,
diagnosis,Dysembryoplastic neuroepithelial tumor,Dysembryoplastic neuroepithelial tumor,200,True,
diagnosis,Dysgerminoma,Dysgerminoma,200,True,
diagnosis,Dysplastic cerebellar gangliocytoma (Lhermitte-Duclos disease),Dysplastic cerebellar gangliocytoma (Lhermitte-Duclos disease),200,True,
diagnosis,Embryonal carcinoma,Embryonal carcinoma,200,True,
diagnosis,"Embryonal carcinoma, NOS","Embryonal carcinoma, NOS",200,True,
diagnosis,"Embryonal rhabdomyosarcoma, NOS","Embryonal rhabdomyosarcoma, NOS",200,True,
diagnosis,Embryonal sarcoma,Embryonal sarcoma,200,True,
diagnosis,Embryonal tumor with multilayered rosettes,Embryonal tumor with multilayered rosettes,200,True,
diagnosis,Embryonal tumor with multilayered rosettes with C19MC alteration,Embryonal tumor with multilayered rosettes with C19MC alteration,200,True,
diagnosis,"Embryonal tumor with multilayered rosettes, C19MC altered","Embryonal tumor with multilayered rosettes, C19MC altered",200,True,
diagnosis,"Embryonal tumor with multilayered rosettes, NOS","Embryonal tumor with multilayered rosettes, NOS",200,True,
diagnosis,"Endometrioid adenocarcinoma, NOS","Endometrioid adenocarcinoma, NOS",200,True,
diagnosis,Ependymoma,Ependymoma,200,True,
diagnosis,"Ependymoma, anaplastic","Ependymoma, anaplastic",200,True,
diagnosis,"Ependymoma, NOS","Ependymoma, NOS",200,True,
diagnosis,"Ependymoma, NOS or NEC","Ependymoma, NOS or NEC",200,True,
diagnosis,"Epithelial tumor, benign","Epithelial tumor, benign",200,True,
diagnosis,Epithelial-myoepithelial carcinoma,Epithelial-myoepithelial carcinoma,200,True,
diagnosis,"Epithelioid hemangioendothelioma, NOS","Epithelioid hemangioendothelioma, NOS",200,True,
diagnosis,"Epithelioid mesothelioma, malignant","Epithelioid mesothelioma, malignant",200,True,
diagnosis,"Epithelioid sarcoma, NOS","Epithelioid sarcoma, NOS",200,True,
diagnosis,Erdheim-Chester disease,Erdheim-Chester disease,200,True,
diagnosis,Ewing sarcoma,Ewing sarcoma,200,True,
diagnosis,Extraventricular neurocytoma,Extraventricular neurocytoma,200,True,
diagnosis,Fibrillary astrocytoma,Fibrillary astrocytoma,200,True,
diagnosis,Fibroblastic osteosarcoma,Fibroblastic osteosarcoma,200,True,
diagnosis,"Fibroma, NOS","Fibroma, NOS",200,True,
diagnosis,"Fibrosarcoma, NOS","Fibrosarcoma, NOS",200,True,
diagnosis,"Follicular adenocarcinoma, well differentiated","Follicular adenocarcinoma, well differentiated",200,True,
diagnosis,"Follicular adenoma, NOS","Follicular adenoma, NOS",200,True,
diagnosis,"Follicular carcinoma, minimally invasive","Follicular carcinoma, minimally invasive",200,True,
diagnosis,"Follicular lymphoma, NOS","Follicular lymphoma, NOS",200,True,
diagnosis,Gangliocytoma,Gangliocytoma,200,True,
diagnosis,"Gangliocytoma, NOS","Gangliocytoma, NOS",200,True,
diagnosis,Ganglioglioma,Ganglioglioma,200,True,
diagnosis,"Ganglioglioma, anaplastic","Ganglioglioma, anaplastic",200,True,
diagnosis,"Ganglioglioma, benign","Ganglioglioma, benign",200,True,
diagnosis,"Ganglioglioma, NOS","Ganglioglioma, NOS",200,True,
diagnosis,Ganglioneuroblastoma,Ganglioneuroblastoma,200,True,
diagnosis,Ganglioneuroma,Ganglioneuroma,200,True,
diagnosis,Gastrointestinal stromal tumor,Gastrointestinal stromal tumor,200,True,
diagnosis,"Gastrointestinal stromal tumor, benign","Gastrointestinal stromal tumor, benign",200,True,
diagnosis,"Gastrointestinal stromal tumor, NOS","Gastrointestinal stromal tumor, NOS",200,True,
diagnosis,Genital rhabdomyoma,Genital rhabdomyoma,200,True,
diagnosis,"Germ cell tumor, nonseminomatous","Germ cell tumor, nonseminomatous",200,True,
diagnosis,Germinoma,Germinoma,200,True,
diagnosis,Giant cell glioblastoma,Giant cell glioblastoma,200,True,
diagnosis,"Giant cell tumor of bone, malignant","Giant cell tumor of bone, malignant",200,True,
diagnosis,"Giant cell tumor of bone, NOS","Giant cell tumor of bone, NOS",200,True,
diagnosis,"Giant cell tumor of soft parts, NOS","Giant cell tumor of soft parts, NOS",200,True,
diagnosis,Glioblastoma,Glioblastoma,200,True,
diagnosis,"Glioblastoma, IDH-wildtype","Glioblastoma, IDH-wildtype",200,True,
diagnosis,"Glioblastoma, NOS","Glioblastoma, NOS",200,True,
diagnosis,"Glioma, malignant","Glioma, malignant",200,True,
diagnosis,Gliomatosis cerebri,Gliomatosis cerebri,200,True,
diagnosis,Glioneuronal and neuronal tumors,Glioneuronal and neuronal tumors,200,True,
diagnosis,"Glioneuronal and neuronal tumors, NOS or NEC","Glioneuronal and neuronal tumors, NOS or NEC",200,True,
diagnosis,Gliosarcoma,Gliosarcoma,200,True,
diagnosis,"Glomus tumor, malignant","Glomus tumor, malignant",200,True,
diagnosis,"Granulosa cell tumor, adult type","Granulosa cell tumor, adult type",200,True,
diagnosis,"Granulosa cell tumor, juvenile","Granulosa cell tumor, juvenile",200,True,
diagnosis,"Granulosa cell tumor, malignant","Granulosa cell tumor, malignant",200,True,
diagnosis,"Granular cell tumor, NOS","Granular cell tumor, NOS",200,True,
diagnosis,Hemangioblastoma,Hemangioblastoma,200,True,
diagnosis,"Hemangioendothelioma, malignant","Hemangioendothelioma, malignant",200,True,
diagnosis,"Hemangioendothelioma, NOS","Hemangioendothelioma, NOS",200,True,
diagnosis,"Hemangioma, NOS","Hemangioma, NOS",200,True,
diagnosis,Hemangiomas and vascular malformations,Hemangiomas and vascular malformations,200,True,
diagnosis,Hemangiosarcoma,Hemangiosarcoma,200,True,
diagnosis,"Hepatoblastoma, NOS","Hepatoblastoma, NOS",200,True,
diagnosis,"Hepatocellular carcinoma, fibrolamellar","Hepatocellular carcinoma, fibrolamellar",200,True,
diagnosis,"Hepatocellular carcinoma, NOS","Hepatocellular carcinoma, NOS",200,True,
diagnosis,Hepatosplenic T-cell lymphoma,Hepatosplenic T-cell lymphoma,200,True,
diagnosis,HHV8 positive diffuse large B-cell lymphoma,HHV8 positive diffuse large B-cell lymphoma,200,True,
diagnosis,High-grade astrocytoma with piloid features,High-grade astrocytoma with piloid features,200,True,
diagnosis,High-Grade Glioma,High-Grade Glioma,200,True,
diagnosis,"High-grade glioma, NOS or NEC","High-grade glioma, NOS or NEC",200,True,
diagnosis,Histiocytic sarcoma,Histiocytic sarcoma,200,True,
diagnosis,"Hodgkin lymphoma, nodular sclerosis, NOS","Hodgkin lymphoma, nodular sclerosis, NOS",200,True,
diagnosis,"Hodgkin lymphoma, NOS","Hodgkin lymphoma, NOS",200,True,
diagnosis,Hybrid nerve sheath tumor,Hybrid nerve sheath tumor,200,True,
diagnosis,Hypernephroid tumor,Hypernephroid tumor,200,True,
diagnosis,Immature teratoma,Immature teratoma,200,True,
diagnosis,Immunodeficiency-associated CNS lymphoma,Immunodeficiency-associated CNS lymphoma,200,True,
diagnosis,Infant-type hemispheric glioma,Infant-type hemispheric glioma,200,True,
diagnosis,Infantile fibrosarcoma,Infantile fibrosarcoma,200,True,
diagnosis,"Intracranial mesenchymal tumor, FET-CREB fusion-positive","Intracranial mesenchymal tumor, FET-CREB fusion-positive",200,True,
diagnosis,Intraductal papillary mucinous neoplasm with an associated invasive carcinoma,Intraductal papillary mucinous neoplasm with an associated invasive carcinoma,200,True,
diagnosis,Intravascular large B-cell lymphoma,Intravascular large B-cell lymphoma,200,True,
diagnosis,"Juvenile myelomonocytic leukemia, NOS","Juvenile myelomonocytic leukemia, NOS",200,True,
diagnosis,Juvenile xanthogranuloma,Juvenile xanthogranuloma,200,True,
diagnosis,Lactotroph adenoma,Lactotroph adenoma,200,True,
diagnosis,Langerhans cell histiocytosis,Langerhans cell histiocytosis,200,True,
diagnosis,"Langerhans cell histiocytosis, disseminated","Langerhans cell histiocytosis, disseminated",200,True,
diagnosis,"Langerhans cell histiocytosis, NOS","Langerhans cell histiocytosis, NOS",200,True,
diagnosis,Large cell medulloblastoma,Large cell medulloblastoma,200,True,
diagnosis,"Leiomyoma, NOS","Leiomyoma, NOS",200,True,
diagnosis,"Leiomyosarcoma, NOS","Leiomyosarcoma, NOS",200,True,
diagnosis,Lentiginous melanocytic nevus,Lentiginous melanocytic nevus,200,True,
diagnosis,"Leukemia, NOS","Leukemia, NOS",200,True,
diagnosis,"Leydig cell tumor, benign","Leydig cell tumor, benign",200,True,
diagnosis,"Leydig cell tumor, NOS","Leydig cell tumor, NOS",200,True,
diagnosis,Lipoblastomatosis,Lipoblastomatosis,200,True,
diagnosis,Lipofibromatosis,Lipofibromatosis,200,True,
diagnosis,"Liposarcoma, NOS","Liposarcoma, NOS",200,True,
diagnosis,"Lobular carcinoma in situ, NOS","Lobular carcinoma in situ, NOS",200,True,
diagnosis,Low cumulative sun damage melanoma,Low cumulative sun damage melanoma,200,True,
diagnosis,Low-Grade Glioma,Low-Grade Glioma,200,True,
diagnosis,"Low-grade glioma, NOS or NEC","Low-grade glioma, NOS or NEC",200,True,
diagnosis,"Lymphangioma, NOS","Lymphangioma, NOS",200,True,
diagnosis,Lymphoepithelial carcinoma,Lymphoepithelial carcinoma,200,True,
diagnosis,"Lymphoid leukemia, NOS","Lymphoid leukemia, NOS",200,True,
diagnosis,Lymphomatoid granulomatosis,Lymphomatoid granulomatosis,200,True,
diagnosis,"Lymphoproliferative disorder, NOS","Lymphoproliferative disorder, NOS",200,True,
diagnosis,Malignant eccrine spiradenoma,Malignant eccrine spiradenoma,200,True,
diagnosis,Malignant histiocytosis,Malignant histiocytosis,200,True,
diagnosis,"Malignant lymphoma, non-Hodgkin, NOS","Malignant lymphoma, non-Hodgkin, NOS",200,True,
diagnosis,"Malignant lymphoma, NOS","Malignant lymphoma, NOS",200,True,
diagnosis,Malignant melanoma arising in giant congenital nevus,Malignant melanoma arising in giant congenital nevus,200,True,
diagnosis,"Malignant melanoma, NOS","Malignant melanoma, NOS",200,True,
diagnosis,Malignant melanotic nerve sheath tumor,Malignant melanotic nerve sheath tumor,200,True,
diagnosis,Malignant peripheral nerve sheath tumor,Malignant peripheral nerve sheath tumor,200,True,
diagnosis,Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation,Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation,200,True,
diagnosis,"Malignant peripheral nerve sheath tumor, NOS","Malignant peripheral nerve sheath tumor, NOS",200,True,
diagnosis,"Malignant tumor, small cell type","Malignant tumor, small cell type",200,True,
diagnosis,"Malignant tumor, spindle cell type","Malignant tumor, spindle cell type",200,True,
diagnosis,MALT lymphoma of the dura,MALT lymphoma of the dura,200,True,
diagnosis,"Marginal zone B-cell lymphoma, NOS","Marginal zone B-cell lymphoma, NOS",200,True,
diagnosis,Mast cell leukemia,Mast cell leukemia,200,True,
diagnosis,Mature T- and NK-cell lymphomas,Mature T- and NK-cell lymphomas,200,True,
diagnosis,"Mature T-cell lymphoma, NOS","Mature T-cell lymphoma, NOS",200,True,
diagnosis,Mature teratoma,Mature teratoma,200,True,
diagnosis,Mediastinal large B-cell lymphoma,Mediastinal large B-cell lymphoma,200,True,
diagnosis,"Medullary carcinoma, NOS","Medullary carcinoma, NOS",200,True,
diagnosis,Medulloblastoma,Medulloblastoma,200,True,
diagnosis,"Medulloblastoma, Group 3","Medulloblastoma, Group 3",200,True,
diagnosis,"Medulloblastoma, Group 4","Medulloblastoma, Group 4",200,True,
diagnosis,"Medulloblastoma, non-WNT/non-SHH","Medulloblastoma, non-WNT/non-SHH",200,True,
diagnosis,"Medulloblastoma, NOS","Medulloblastoma, NOS",200,True,
diagnosis,"Medulloblastoma, NOS or NEC","Medulloblastoma, NOS or NEC",200,True,
diagnosis,"Medulloblastoma, SHH-activated and TP53-mutant","Medulloblastoma, SHH-activated and TP53-mutant",200,True,
diagnosis,"Medulloblastoma, SHH-activated and TP53-wildtype","Medulloblastoma, SHH-activated and TP53-wildtype",200,True,
diagnosis,"Medulloblastoma, WNT-activated","Medulloblastoma, WNT-activated",200,True,
diagnosis,"Medulloblastoma, WNT-activated, NOS","Medulloblastoma, WNT-activated, NOS",200,True,
diagnosis,"Medulloepithelioma, NOS","Medulloepithelioma, NOS",200,True,
diagnosis,Medullary thyroid carcinoma,Medullary thyroid carcinoma,200,True,
diagnosis,Melanoma in situ,Melanoma in situ,200,True,
diagnosis,Melanotic neuroectodermal tumor,Melanotic neuroectodermal tumor,200,True,
diagnosis,Melanotic schwannoma,Melanotic schwannoma,200,True,
diagnosis,Meningeal melanocytic neoplasms (includes melanoma),Meningeal melanocytic neoplasms (includes melanoma),200,True,
diagnosis,Meningeal melanocytoma,Meningeal melanocytoma,200,True,
diagnosis,Meningeal melanocytoma and meningeal melanoma,Meningeal melanocytoma and meningeal melanoma,200,True,
diagnosis,Meningeal melanocytosis and meningeal melanomatosis,Meningeal melanocytosis and meningeal melanomatosis,200,True,
